Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
SL-UT-C CR-OX PR-50;5;27 16 28 23 10 12 29 19 6 2 15 17 5 14 8 1 26 3 4 21 11 7 22 30 25 9 24 13 20 18 ;2.09818e+06;19 8 23 25 10 13 16 27 6 26 12 5 17 30 4 11 18 20 2 22 3 14 7 9 28 15 29 24 1 21 ;2.06062e+06;20
SL-UT-C CR-PMX PR-16;1;20 27 6 29 8 22 4 30 12 17 5 23 7 3 21 24 15 10 16 19 13 18 1 2 25 9 14 28 26 11 ;2.13119e+06;29 11 21 19 26 16 20 27 13 7 28 9 30 2 18 8 5 3 25 24 4 6 1 10 15 14 22 17 23 12 ;1.97985e+06;43
SL-UT-C CR-PMX PR-16;2;1 22 16 5 26 29 15 20 9 10 21 3 27 25 28 6 8 19 4 30 17 14 11 7 23 12 24 2 18 13 ;2.13522e+06;21 22 24 30 26 2 19 28 16 18 15 3 17 11 29 25 1 8 5 6 13 23 12 10 27 20 7 9 4 14 ;1.99344e+06;68
SL-UT-C CR-PMX PR-16;3;17 2 19 25 4 24 16 11 22 5 14 13 8 3 27 23 21 29 9 10 6 18 26 12 1 15 30 28 7 20 ;2.12333e+06;7 18 28 22 19 25 24 16 20 4 23 29 26 12 17 6 1 15 9 27 5 14 3 8 13 21 11 2 30 10 ;2.00364e+06;55
SL-UT-C CR-PMX PR-16;4;24 16 8 30 25 3 21 5 11 12 28 15 13 18 27 4 9 26 6 2 23 7 14 10 29 22 20 1 19 17 ;2.11578e+06;8 13 28 2 25 30 26 5 21 3 11 14 12 15 22 23 16 10 19 18 27 7 29 24 4 20 1 6 17 9 ;2.01676e+06;53
SL-UT-C CR-PMX PR-16;5;12 7 28 17 4 24 23 27 5 10 29 9 26 30 1 2 18 20 19 13 3 22 15 16 8 25 14 21 6 11 ;2.1223e+06;12 26 19 17 8 16 18 3 22 28 7 6 9 1 23 29 4 25 11 2 27 20 10 15 14 21 30 24 5 13 ;2.01439e+06;59
SL-UT-C CR-PMX PR-25;1;16 23 15 27 18 20 25 26 2 12 9 3 13 14 24 10 5 17 1 30 7 19 6 8 21 11 22 28 4 29 ;2.11463e+06;3 10 30 4 5 25 1 2 29 11 21 18 14 16 27 13 8 7 17 20 6 23 12 28 15 9 19 24 26 22 ;2.00472e+06;39
SL-UT-C CR-PMX PR-25;2;24 11 16 1 3 2 26 29 22 5 14 7 28 20 30 17 9 15 10 21 8 19 18 13 23 25 12 6 27 4 ;2.12816e+06;2 23 26 25 19 28 29 9 7 6 15 8 30 18 11 17 1 14 10 3 20 16 21 24 27 5 22 12 4 13 ;2.01759e+06;39
SL-UT-C CR-PMX PR-25;3;14 27 17 24 22 7 5 21 4 11 1 25 16 12 3 6 9 13 8 10 23 15 30 28 18 2 29 19 20 26 ;2.09735e+06;12 16 5 8 25 14 30 27 23 29 24 6 20 13 17 19 10 18 15 9 11 26 28 1 3 21 4 22 7 2 ;1.9974e+06;39
SL-UT-C CR-PMX PR-25;4;18 19 22 16 9 2 25 24 5 13 30 3 15 20 8 6 29 1 27 26 14 23 10 11 4 17 28 7 12 21 ;2.12599e+06;21 13 14 25 26 4 30 8 19 22 16 10 12 28 17 29 11 23 18 6 20 24 27 2 1 15 9 3 5 7 ;2.03341e+06;34
SL-UT-C CR-PMX PR-25;5;7 28 22 19 18 6 23 8 2 4 17 27 15 16 20 25 10 26 14 29 9 30 1 12 13 21 24 11 5 3 ;2.12971e+06;11 6 19 24 4 3 23 28 2 22 5 21 15 16 20 25 10 26 9 30 7 29 1 18 13 27 12 8 14 17 ;2.00186e+06;29
SL-UT-C CR-PMX PR-50;1;22 8 6 17 16 14 29 24 2 28 11 7 26 3 23 30 10 1 18 21 19 25 12 9 4 15 5 13 27 20 ;2.14261e+06;8 3 30 18 22 21 24 28 27 6 11 23 14 16 15 4 7 13 1 20 2 12 26 17 10 25 5 29 9 19 ;2.00147e+06;31
